nameWithOwner,createdAt,stargazerCount,commitCount
linlinjava/litemall,2018-03-22T16:42:30Z,18990,1186
openjdk/jdk,2018-09-17T12:29:20Z,18797,78901
Baseflow/PhotoView,2012-07-17T16:39:00Z,18703,462
yudaocode/SpringBoot-Labs,2018-09-12T14:51:46Z,18644,678
dianping/cat,2012-12-05T02:31:48Z,18491,7412
forezp/SpringCloudLearning,2017-04-08T10:06:56Z,17790,72
LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,17121,1333
Tencent/tinker,2016-09-06T06:57:52Z,17094,842
facebook/fresco,2015-03-02T09:58:04Z,17054,3843
yuliskov/SmartTube,2020-07-28T12:53:52Z,16889,9797
Tencent/APIJSON,2016-11-21T12:03:29Z,16863,3197
openzipkin/zipkin,2012-06-06T18:26:16Z,16807,2944
nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,16795,1039
williamfiset/Algorithms,2017-03-18T02:50:46Z,16725,1631
winterbe/java8-tutorial,2014-03-16T17:25:43Z,16682,150
shuzheng/zheng,2016-10-04T10:07:06Z,16646,1241
